RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,"Favourite camp moments? Did a camp member make your burn super amazing?","What do you feel was your contribution to the camp? Could something have helped you to contribute more?<br><br>","Favourite meal?","Why did you choose to camp with Helioz this year?","Will you come back next year?",,,,,"One thing you wish you had known before, or wish you had brought to the burn?","Did you experience or observe any bad behaviour in the camp? (Unauthorised borrowing, mooping, etc. - please give details.) Are there any camp rules that we should add or change for next year?","Did you like the location at 9:15 + B? Where should we ask to be placed next year?","<strong>Helioz pulse! Where should we spend camp effort and resources?</strong><br><br>If something went well, maybe we should invest more time on it: that's not a bad thing! <br><br>In theory we could have spent too much effort on something important but also done a bad job of it: in that case please just mark it on the left, needing more effort scale and we will try to be more effective next year :)<br><br>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"What could make Helioz awesome in 2016? What would you like to contribute? Any other thoughts?"
,,,,,,,,,"Open-Ended Response","Open-Ended Response","Open-Ended Response","Open-Ended Response","YES!! HELIOZ 2016","Yes to Burning Man, but maybe at another camp","Maybe","No","Why?","Open-Ended Response","Open-Ended Response","Open-Ended Response","Dinners - Awesome! More effort and resources really should go here!","Dinners - Deserves more attention","Dinners - Perfect balance!","Dinners - We spent too much on this","Dinners - Way too much camp effort went into this","Brunches - Awesome! More effort and resources really should go here!","Brunches - Deserves more attention","Brunches - Perfect balance!","Brunches - We spent too much on this","Brunches - Way too much camp effort went into this","Kitchen facilities - Awesome! More effort and resources really should go here!","Kitchen facilities - Deserves more attention","Kitchen facilities - Perfect balance!","Kitchen facilities - We spent too much on this","Kitchen facilities - Way too much camp effort went into this","Inverted disco dome! - Awesome! More effort and resources really should go here!","Inverted disco dome! - Deserves more attention","Inverted disco dome! - Perfect balance!","Inverted disco dome! - We spent too much on this","Inverted disco dome! - Way too much camp effort went into this","Glowing bocce ball! - Awesome! More effort and resources really should go here!","Glowing bocce ball! - Deserves more attention","Glowing bocce ball! - Perfect balance!","Glowing bocce ball! - We spent too much on this","Glowing bocce ball! - Way too much camp effort went into this","Arena! - Awesome! More effort and resources really should go here!","Arena! - Deserves more attention","Arena! - Perfect balance!","Arena! - We spent too much on this","Arena! - Way too much camp effort went into this","TARB the drinks robot! - Awesome! More effort and resources really should go here!","TARB the drinks robot! - Deserves more attention","TARB the drinks robot! - Perfect balance!","TARB the drinks robot! - We spent too much on this","TARB the drinks robot! - Way too much camp effort went into this","Sound system - Awesome! More effort and resources really should go here!","Sound system - Deserves more attention","Sound system - Perfect balance!","Sound system - We spent too much on this","Sound system - Way too much camp effort went into this","Tools for setup and teardown - Awesome! More effort and resources really should go here!","Tools for setup and teardown - Deserves more attention","Tools for setup and teardown - Perfect balance!","Tools for setup and teardown - We spent too much on this","Tools for setup and teardown - Way too much camp effort went into this","Shade structures - Awesome! More effort and resources really should go here!","Shade structures - Deserves more attention","Shade structures - Perfect balance!","Shade structures - We spent too much on this","Shade structures - Way too much camp effort went into this","Shower - Awesome! More effort and resources really should go here!","Shower - Deserves more attention","Shower - Perfect balance!","Shower - We spent too much on this","Shower - Way too much camp effort went into this","Furniture - Awesome! More effort and resources really should go here!","Furniture - Deserves more attention","Furniture - Perfect balance!","Furniture - We spent too much on this","Furniture - Way too much camp effort went into this","Signage - Awesome! More effort and resources really should go here!","Signage - Deserves more attention","Signage - Perfect balance!","Signage - We spent too much on this","Signage - Way too much camp effort went into this","Camp decoration - Awesome! More effort and resources really should go here!","Camp decoration - Deserves more attention","Camp decoration - Perfect balance!","Camp decoration - We spent too much on this","Camp decoration - Way too much camp effort went into this","Pre-burn expectations setting and support - Awesome! More effort and resources really should go here!","Pre-burn expectations setting and support - Deserves more attention","Pre-burn expectations setting and support - Perfect balance!","Pre-burn expectations setting and support - We spent too much on this","Pre-burn expectations setting and support - Way too much camp effort went into this","Communal camp fun group activities - Awesome! More effort and resources really should go here!","Communal camp fun group activities - Deserves more attention","Communal camp fun group activities - Perfect balance!","Communal camp fun group activities - We spent too much on this","Communal camp fun group activities - Way too much camp effort went into this","Introduction to the camp setup and facilities - Awesome! More effort and resources really should go here!","Introduction to the camp setup and facilities - Deserves more attention","Introduction to the camp setup and facilities - Perfect balance!","Introduction to the camp setup and facilities - We spent too much on this","Introduction to the camp setup and facilities - Way too much camp effort went into this","Support for virgins (first time burners) - Awesome! More effort and resources really should go here!","Support for virgins (first time burners) - Deserves more attention","Support for virgins (first time burners) - Perfect balance!","Support for virgins (first time burners) - We spent too much on this","Support for virgins (first time burners) - Way too much camp effort went into this","Campmate recruitment and screening - Awesome! More effort and resources really should go here!","Campmate recruitment and screening - Deserves more attention","Campmate recruitment and screening - Perfect balance!","Campmate recruitment and screening - We spent too much on this","Campmate recruitment and screening - Way too much camp effort went into this","Holding people to account for antisocial behaviour in the camp - Awesome! More effort and resources really should go here!","Holding people to account for antisocial behaviour in the camp - Deserves more attention","Holding people to account for antisocial behaviour in the camp - Perfect balance!","Holding people to account for antisocial behaviour in the camp - We spent too much on this","Holding people to account for antisocial behaviour in the camp - Way too much camp effort went into this","Interactive activities for other burners (not at Helioz!) - Awesome! More effort and resources really should go here!","Interactive activities for other burners (not at Helioz!) - Deserves more attention","Interactive activities for other burners (not at Helioz!) - Perfect balance!","Interactive activities for other burners (not at Helioz!) - We spent too much on this","Interactive activities for other burners (not at Helioz!) - Way too much camp effort went into this","Diversity of campmates (different backgrounds, etc.) - Awesome! More effort and resources really should go here!","Diversity of campmates (different backgrounds, etc.) - Deserves more attention","Diversity of campmates (different backgrounds, etc.) - Perfect balance!","Diversity of campmates (different backgrounds, etc.) - We spent too much on this","Diversity of campmates (different backgrounds, etc.) - Way too much camp effort went into this","Open-Ended Response"
,,,,,,,,,"Delectus reiciendis labore odio soluta et itaque dolorem. Qui in et repellendus ut eum dolor. Eum aspernatur non.","Ut quae qui molestiae quis ullam quos. Dicta qui non.","Fuga ut ab et enim atque quibusdam rerum.","Nulla eius enim aspernatur.",,,"Maybe",,"A debitis ab porro velit quia dolores. Quas accusamus sed eligendi atque mollitia.","Est laborum velit a inventore.","Voluptatem libero occaecati.","Omnis velit consequatur ex.",,,"Perfect balance!",,,,,,,"Way too much camp effort went into this",,,,,"Way too much camp effort went into this",,"Deserves more attention",,,,,"Deserves more attention",,,,,,,"We spent too much on this",,,,,,"Way too much camp effort went into this",,,,,"Way too much camp effort went into this","Awesome! More effort and resources really should go here!",,,,,,,,"We spent too much on this",,,,,,"Way too much camp effort went into this",,,"Perfect balance!",,,,,,,"Way too much camp effort went into this",,,"Perfect balance!",,,,"Deserves more attention",,,,,,,"We spent too much on this",,,,,,"Way too much camp effort went into this",,,,,"Way too much camp effort went into this","Awesome! More effort and resources really should go here!",,,,,,,,,"Way too much camp effort went into this","Awesome! More effort and resources really should go here!",,,,,,,"Perfect balance!",,,"Vitae aspernatur odio assumenda nostrum est quo."
,,,,,,,,,"Aut sint optio recusandae ea. Distinctio ex nesciunt cupiditate.","Vel suscipit perferendis.","Numquam perspiciatis animi dicta aut et.","Debitis sunt doloribus excepturi veniam illum.","YES!! HELIOZ 2016",,,,"Rerum qui tempore provident facere explicabo.","Quae ut aut vel.","Harum qui officiis tenetur quos minima similique ducimus. Et voluptatem sit sapiente distinctio ipsa enim.","Et et provident nisi et laudantium. Quidem voluptatem et.",,,,,"Way too much camp effort went into this",,"Deserves more attention",,,,,"Deserves more attention",,,,"Awesome! More effort and resources really should go here!",,,,,"Awesome! More effort and resources really should go here!",,,,,,,,"We spent too much on this",,,,"Perfect balance!",,,"Awesome! More effort and resources really should go here!",,,,,,"Deserves more attention",,,,,"Deserves more attention",,,,,"Deserves more attention",,,,,,,"We spent too much on this",,,,,"We spent too much on this",,,,,,"Way too much camp effort went into this",,,,"We spent too much on this",,,,"Perfect balance!",,,,"Deserves more attention",,,,,"Deserves more attention",,,,,,,,"Way too much camp effort went into this",,,,"We spent too much on this",,,,,,"Way too much camp effort went into this",,"Deserves more attention",,,,"Ut natus et velit harum."
,,,,,,,,,"Facere est omnis quis vel eos. Consequatur libero voluptas.","Minus quae occaecati modi iusto. Id sed aliquid.","Enim in et nobis optio aliquam.","Praesentium numquam quasi suscipit eum. Expedita tempore eveniet vitae.",,,"Maybe",,"Non laborum debitis. Laudantium ipsa quia provident qui non cupiditate quia.","Consequatur non molestiae.","Doloremque magnam recusandae enim provident est. Mollitia qui doloribus ullam autem sapiente in.","Distinctio accusamus sint est. Asperiores distinctio iste saepe aut eum.",,"Deserves more attention",,,,,,,"We spent too much on this",,,,,"We spent too much on this",,"Awesome! More effort and resources really should go here!",,,,,,"Deserves more attention",,,,,,"Perfect balance!",,,,,,,"Way too much camp effort went into this",,,,,"Way too much camp effort went into this",,,"Perfect balance!",,,,,"Perfect balance!",,,,"Deserves more attention",,,,,,,"We spent too much on this",,"Awesome! More effort and resources really should go here!",,,,,"Awesome! More effort and resources really should go here!",,,,,,,"Perfect balance!",,,,,,"We spent too much on this",,,,,"We spent too much on this",,,,"Perfect balance!",,,"Awesome! More effort and resources really should go here!",,,,,,,,"We spent too much on this",,,,,"We spent too much on this",,,,,,"Way too much camp effort went into this","Aliquam vel reiciendis quam."
,,,,,,,,,"Nemo accusantium ea debitis.","Iure ea aut consequatur laudantium et dolor occaecati.","Quae dolore sed quaerat laudantium consectetur.","Debitis qui iste necessitatibus eveniet. Error et harum est non excepturi.",,"Yes to Burning Man, but maybe at another camp",,,"Velit laborum alias. Vel ut magni voluptate harum eligendi perspiciatis.","Esse officiis itaque et.","Debitis quam sed magnam adipisci et. Magni aut porro dolorum est sunt. Illo sint numquam.","Totam ullam blanditiis expedita commodi est.","Awesome! More effort and resources really should go here!",,,,,,,,"We spent too much on this",,,"Deserves more attention",,,,,,,"We spent too much on this",,,"Deserves more attention",,,,,,,"We spent too much on this",,,,"Perfect balance!",,,,,"Perfect balance!",,,,,,,"Way too much camp effort went into this",,,,"We spent too much on this",,"Awesome! More effort and resources really should go here!",,,,,,,,"We spent too much on this",,"Awesome! More effort and resources really should go here!",,,,,"Awesome! More effort and resources really should go here!",,,,,,,"Perfect balance!",,,"Awesome! More effort and resources really should go here!",,,,,,,"Perfect balance!",,,,,,,"Way too much camp effort went into this",,,,,"Way too much camp effort went into this",,,,"We spent too much on this",,,"Deserves more attention",,,,"Awesome! More effort and resources really should go here!",,,,,"Ratione veniam quo est voluptate. Vitae qui et."
,,,,,,,,,"Corporis blanditiis repudiandae velit iusto ut ex. Aut aperiam et perferendis hic ratione.","Doloremque autem nam molestiae. Veritatis iure quam labore aut enim. Nobis voluptates et mollitia quia nihil.","Qui unde dolores doloribus numquam sint quis.","Rem officiis debitis sequi corporis voluptates. Doloremque numquam magnam sit sed.",,,"Maybe",,"Pariatur dolorem voluptas iste illum error.","Eveniet inventore est quo quibusdam architecto. Tempore ut aut repudiandae iusto est.","Minus veritatis accusamus expedita rerum. Provident beatae dolorem iste voluptatibus.","Id aut corporis modi ullam praesentium. Inventore est excepturi.",,,,,"Way too much camp effort went into this",,"Deserves more attention",,,,,"Deserves more attention",,,,,,,"We spent too much on this",,,,,"We spent too much on this",,,"Deserves more attention",,,,,,"Perfect balance!",,,,,,"We spent too much on this",,,"Deserves more attention",,,,,"Deserves more attention",,,,,,,,"Way too much camp effort went into this",,,"Perfect balance!",,,,,"Perfect balance!",,,,,"Perfect balance!",,,,,"Perfect balance!",,,"Awesome! More effort and resources really should go here!",,,,,"Awesome! More effort and resources really should go here!",,,,,,"Deserves more attention",,,,,"Deserves more attention",,,,,"Deserves more attention",,,,,,"Perfect balance!",,,"Awesome! More effort and resources really should go here!",,,,,"Accusamus voluptatem neque recusandae. Veritatis voluptates accusamus eveniet commodi est culpa."
,,,,,,,,,"Sequi ab fuga voluptatum dolor incidunt. Qui tempore voluptatem quibusdam eveniet incidunt consequatur.","Quasi et ipsa exercitationem eligendi quia.","Et id porro.","Accusamus maxime nobis autem error id.",,,"Maybe",,"Qui quia dolor et quas minima. Quam doloremque veritatis sed.","Rem odio quo a dolores.","Numquam veniam consequuntur et non delectus molestiae.","Repudiandae sed dignissimos et soluta magnam. At ex quia et.",,,,,"Way too much camp effort went into this",,,"Perfect balance!",,,,,,"We spent too much on this",,,,"Perfect balance!",,,,,,"We spent too much on this",,"Awesome! More effort and resources really should go here!",,,,,"Awesome! More effort and resources really should go here!",,,,,,,,,"Way too much camp effort went into this",,,"Perfect balance!",,,,"Deserves more attention",,,,,"Deserves more attention",,,,,,,"We spent too much on this",,"Awesome! More effort and resources really should go here!",,,,,,,,,"Way too much camp effort went into this",,,,,"Way too much camp effort went into this",,,,"We spent too much on this",,,,,"We spent too much on this",,,,,,"Way too much camp effort went into this",,,"Perfect balance!",,,,"Deserves more attention",,,,,,,,"Way too much camp effort went into this",,,,"We spent too much on this",,"Dolorem impedit unde."
,,,,,,,,,"Qui qui impedit repellendus quo asperiores consectetur et. Molestiae tempore possimus consequatur nesciunt quo placeat amet. Facilis qui vitae sequi beatae.","Harum quaerat saepe et doloremque inventore facilis. Quod unde ut recusandae molestiae quae.","Reiciendis eius voluptatibus.","Ipsa et dolorum. Aut hic rerum aut tempore et.",,,,"No","Excepturi tenetur voluptatem. Non dolorum sunt eveniet sapiente est aspernatur at.","Commodi odio libero neque. Qui et laboriosam eveniet rerum aut nam.","Et dicta explicabo eos qui. Minima vel earum tempore eius ut aut rerum.","Voluptatem veniam nobis tempore.",,"Deserves more attention",,,,"Awesome! More effort and resources really should go here!",,,,,"Awesome! More effort and resources really should go here!",,,,,"Awesome! More effort and resources really should go here!",,,,,,,,,"Way too much camp effort went into this","Awesome! More effort and resources really should go here!",,,,,"Awesome! More effort and resources really should go here!",,,,,"Awesome! More effort and resources really should go here!",,,,,,"Deserves more attention",,,,,,,"We spent too much on this",,,"Deserves more attention",,,,,,,"We spent too much on this",,,,"Perfect balance!",,,,,,,"Way too much camp effort went into this","Awesome! More effort and resources really should go here!",,,,,,,,"We spent too much on this",,"Awesome! More effort and resources really should go here!",,,,,,"Deserves more attention",,,,"Awesome! More effort and resources really should go here!",,,,,,"Deserves more attention",,,,,"Deserves more attention",,,,,,,"We spent too much on this",,"Cum ut id consequuntur aut consequatur nostrum."
,,,,,,,,,"Natus facere quis earum ut et.","Dolorem deleniti et ducimus. Repellat provident numquam tempore veniam rerum quasi aut.","Ea et dolor.","Corporis consequatur error non a. Voluptas enim est laudantium culpa adipisci officiis.",,,"Maybe",,"Atque voluptatibus ex non debitis inventore sed laudantium.","Nemo aperiam pariatur quibusdam.","Delectus qui soluta.","Molestias quaerat est est. Magnam sequi velit ullam.",,"Deserves more attention",,,,,,,"We spent too much on this",,,,"Perfect balance!",,,,,,,"Way too much camp effort went into this",,,"Perfect balance!",,,,"Deserves more attention",,,,"Awesome! More effort and resources really should go here!",,,,,,"Deserves more attention",,,,"Awesome! More effort and resources really should go here!",,,,,,,,,"Way too much camp effort went into this",,,,"We spent too much on this",,"Awesome! More effort and resources really should go here!",,,,,,,,,"Way too much camp effort went into this",,"Deserves more attention",,,,,,"Perfect balance!",,,,,,"We spent too much on this",,,"Deserves more attention",,,,"Awesome! More effort and resources really should go here!",,,,,,"Deserves more attention",,,,,,,,"Way too much camp effort went into this",,,,"We spent too much on this",,,,"Perfect balance!",,,"Sit recusandae et reprehenderit consectetur dolorem quia voluptatem. Temporibus rerum ut aut voluptatem pariatur dicta doloremque."
,,,,,,,,,"Accusantium porro facere beatae quam ipsum delectus. Non dolorem nihil nobis neque qui a quia.","Rem qui et incidunt nihil illo fugiat hic. Officia eius molestiae soluta reiciendis sed dolor tenetur. Ut distinctio facilis consequatur ratione.","Tempore esse velit debitis deserunt.","Totam eum voluptate nesciunt. Odio nam sapiente dolores voluptatem debitis aut.","YES!! HELIOZ 2016",,,,"Ut sapiente dicta voluptas nemo voluptatem eos.","Laboriosam est ad tempora numquam.","Iusto qui nostrum necessitatibus.","Commodi quis rerum at sunt accusantium error. Sit quasi nam voluptatem.",,,,"We spent too much on this",,,"Deserves more attention",,,,"Awesome! More effort and resources really should go here!",,,,,,,,"We spent too much on this",,,,"Perfect balance!",,,,,,,"Way too much camp effort went into this",,,,"We spent too much on this",,,,,,"Way too much camp effort went into this",,,"Perfect balance!",,,,,"Perfect balance!",,,,"Deserves more attention",,,,,"Deserves more attention",,,,,,"Perfect balance!",,,"Awesome! More effort and resources really should go here!",,,,,"Awesome! More effort and resources really should go here!",,,,,,"Deserves more attention",,,,,,,,"Way too much camp effort went into this",,,"Perfect balance!",,,,,,,"Way too much camp effort went into this",,,,,"Way too much camp effort went into this",,,"Perfect balance!",,,,,,"We spent too much on this",,"Ratione et et. Fugit itaque enim minima voluptates. Dolores exercitationem rerum vitae autem ratione quam."
,,,,,,,,,"Voluptates laudantium odio numquam necessitatibus fugiat. Praesentium sit placeat aspernatur odit amet voluptas.","Voluptates molestiae labore eaque possimus nobis. Voluptatem dolorem delectus cum. Ab fugit perspiciatis et.","Laborum recusandae nostrum omnis asperiores aut est.","Illum reprehenderit praesentium.",,"Yes to Burning Man, but maybe at another camp",,,"Tempore quae non tempora. Ea ut atque vero.","Est nesciunt aliquam consectetur magni ut.","Unde labore praesentium. Officia voluptate sapiente ratione minus necessitatibus quas. Ullam et sint culpa.","Sit qui necessitatibus quia pariatur unde. Reprehenderit voluptatem quam doloremque praesentium officiis doloribus.","Awesome! More effort and resources really should go here!",,,,,,,,"We spent too much on this",,"Awesome! More effort and resources really should go here!",,,,,"Awesome! More effort and resources really should go here!",,,,,,,,,"Way too much camp effort went into this",,"Deserves more attention",,,,,"Deserves more attention",,,,,,,"We spent too much on this",,,,,,"Way too much camp effort went into this",,"Deserves more attention",,,,,,,,"Way too much camp effort went into this","Awesome! More effort and resources really should go here!",,,,,,"Deserves more attention",,,,,,,"We spent too much on this",,,,,,"Way too much camp effort went into this",,,,,"Way too much camp effort went into this","Awesome! More effort and resources really should go here!",,,,,,,,,"Way too much camp effort went into this",,,,"We spent too much on this",,"Awesome! More effort and resources really should go here!",,,,,,"Deserves more attention",,,,,,,,"Way too much camp effort went into this","Qui exercitationem excepturi est eos nemo tenetur ipsa. Distinctio officiis in vitae illum quia magnam."
